sentences,emotion
marsilid was tried as a treatment for depressed patients and given over a period of weeks rather than days but it had disadvantages as well as advantages,sad
the virtual outlawing of the use of ect in some states in the usa has deprived suicidal depressed patients of an extremely effective and sometimes life saving treatment,sad
geographical moves have been found to be third most important in a list of ten precipitants concentrated in the month before the onset of depressive symptoms in forty consecutive clinically depressed patients,sad
many depressed people just withdraw into themselves they may sleep a lot in the day but have wakeful nights,sad
for example mildly depressed and tired old people used to be given amphetamines,sad
a depressed person may cry a great deal show self pity and lack of interest in the outside world and have no enjoyment of everyday life even food,sad
their findings indicate measurable differences between normal and depressed women,sad
he seemed too depressed to do very much wandering round the house like a zombie,sad
i have heard of women so depressed that they spend their 40th birthday incommunicado having a mini nervous breakdown in bed,sad
records must not be based on the measurement of subjective impressions such as the number of times parents felt depressed about their child s behaviour,sad
i felt quite depressed about it,sad
in the longer term the offspring of depressed mothers are more likely to suffer from childhood depression,sad
the ready availability of a screening questionnaire that mothers at risk can complete under supervision in a few minutes is potentially useful but only if health workers and others can rise to the needs of depressed mothers,sad
if someone mentions things like ration books powdered egg air raids and so on my stomach turns over and i feel quite depressed,sad
it showed some women in a northern english town at the turn of the century they were standing under an advertisement for mazawattee tea and seemed depressed,sad
her shoulders were slumped and she was walking slowly looking depressed,sad
every time i go to cambridge i come back depressed as hell then as soon as i am back to a norfolk class spirits soar again,sad
at first i could not understand -- but then when she had whispering explained properly i was filled with a desolate despairing horror,sad
i am so desolate -- oh but please it is all arranged and say no more,sad
let me in for i am cold and desolate and hungry,sad
i was so desolate about chip,sad
edwin i would be utterly desolate were it not for my faithful companion here,sad
i felt so desolate and so angry,sad
creggan had never in his short life felt so desolate and try as he did he could not rest and fall asleep,sad
feeling oddly bereft and desolate besieged by dolly s incessant chatter luce was pleased to get back to the hotel,sad
feeling desolate she climbed back into the car not daring to look at roman in the silver moonlight,sad
he saw maud once in the kurfrstendamm eating alone in a cafe and looking a little desolate with a stack of coins already piled beside her plate although her meal had only just come,sad
she looked utterly desolate and all of her thirty eight years her cheeks seemed to sag and her jaw line looked heavy,sad
market report interest rate fears spread despondency,sad
the greatest cause of the prince s despondency had been the feeling that he served no useful purpose,sad
producers must believe in their ability and not succumb to despondency,sad
there is nothing new in the experts spreading unwarranted alarm and despondency,sad
in an attempt to counteract despondency to reclaim the green world for itself not solely as a balm for my despair i arranged with barry s help an interview with david ricalde,sad
through some unexplained process magnetic fields produced by the electric currents flowing in the cables seem to induce say the depressives the darkest feelings of gloom and despondency,sad
i want you and sheila to know how very much i appreciate the kindness shown to me in my earlier mood of despondency,sad
during the days that followed brackenbury s hasty departure edward s despondency increased,sad
following this there was considerable despondency amongst the committee as there seemed to be little hope for the future,sad
lucille s despondency was caused by a fear of sharpe s death not a british defeat but she dared not articulate such a thought,sad
during the following months the school managed to carry on but the atmosphere must have been one of great despondency,sad
the day was high and bright the salt tang seasoning the after pulse of summer heat which still hung in the air but nothing could shift my sense of despondency nagging depression,sad
the session had ended with the seven of them grinning broadly their earlier mood of despondency cast aside their sense of unity rebuilt,sad
i remember my despondency in 1926 when abd al karim was forced to surrender to the french,sad
and therein lay the extent of his gratitude she realised with a feeling of despondency but to disguise her feelings she added brightly when we are at the hospital we must visit stella,sad
despite moments of despondency de gaulle himself certainly did not give up hope,sad
determinedly she put her worries and the root cause of her despondency behind her and tried to think more cheerfully,sad
the euphoria and sense of well being which accompanied the boom years of the 1980s has been replaced by a mood of despondency as companies and individuals experience the effects of a western style recession,sad
she knew that his gothic romance and glossary were being turned down by publisher after publisher and he grew despondent as he rewrote and rewrote again,sad
diana took the criticism to heart avidly read what was being said about her and became depressed and despondent,sad
she was becoming increasingly despondent about the way things were going,sad
the mood was despairing despondent and war weary -- apathetic rather than rebellious,sad
and our hero in his turn felt despondent and fearful for his little grey mentor had given him no instructions for this eventuality,sad
it was a pretty despondent group that sat around the fire of the lrdg patrol each sunk in his own thoughts,sad
at first tony looked less happy than before and said he had become somewhat despondent about his lack of progress in finding employment,sad
we are more despondent and needy than ever,sad
ma he said in a tentative tone of voice his face going slowly pink with the strain of trying to communicate with his despondent parent,sad
nigel became despondent but i did not,sad
both mr pitman senior and junior were reps who grew progressively despondent over the standard of rooms and services they encountered on their travels,sad
protagonists of unity may have been despondent about the loss of the edc and the european political community but were not routed,sad
i will have the use of a locker at the airport    she trailed off with a despondent sigh,sad
by six of the clock the water had not arrived and haverford looking at their despondent faces said it is like a death in the family,sad
he felt increasingly irritated and despondent,sad
he was beginning to feel a bit despondent about the kind of questions jean was asking,sad
by comparison she felt drained and despondent,sad
inevitably some become despondent fearing they will never work again,sad
privately juliet was feeling rather despondent,sad
squeezed like despondent sardines they looked as if they were huddling for warmth,sad
do not be despondent she told me,sad
a despondent renault worker remarked it seems to me that we came very close to something new,sad
following yesterday s revival in fortunes the london share market was in a despondent mood as the treasury deflated hopes of early interest rate cuts,sad
yeah but she is a bit despondent now is not she really,sad
of course we were devastated but we knew now what had been wrong all along -- and at least they could not blame me any more,sad
clare was devastated and swore that she would never go back to school again,sad
i was devastated he says of missing the semi final,sad
his poor scrawny hands grip the arms of a wheelchair pushed by his adoring wife with the now familiar expression of a too bright smile and devastated eyes,sad
in an expression of community sympathy many local children in south ronaldsay made and sent cards to the four devastated mothers,sad
julie s devastated husband tim 32 was last night preparing to fly from their home in northampton to identify his wife s body,sad
father hugh mcaleese said we are devastated but we intend to restore the church to its former glory,sad
i was devastated i wanted him back carol said after the hearing at fareham,sad
fry said his farewells to the players who regarded him as a father figure before heading for home in bedford a devastated man,sad
he collapsed in a coma at a london club and died hours later in hospital from massive internal bleeding   in front of his devastated mum and dad,sad
as he was rushed to hospital his devastated daughter suzanne went ahead with the service -- not knowing if he would live or die,sad
yesterday it was also disclosed that glamorous suzannah dwyer told her devastated husband of her romance 24 hours before bates went public with the news at a press conference,sad
physically she felt devastated,sad
i feel devastated and it is much worse for my poor mother,sad
jessica felt more than flustered she felt devastated,sad
all her colleagues are devastated she was a popular wee girl,sad
i sit disconsolate in the snow,sad
give over will yer pleaded the disconsolate convener slapping jam on his butty,sad
the brazilian lover was looking increasingly disconsolate,sad
wycombe were beaten by bob taylor s 82nd minute winner and their disconsolate boss martin oneill said i was actually looking forward to extra time because i was so sure we would win,sad
the night outside was drizzling with rain and everyone except himself hurried for a cab the flower sellers were disconsolate,sad
as clinton was taking up the reins of power a disconsolate president bush flew back to washington to make arrangements for the handover,sad
francis was not totally disconsolate and added the way our fans came behind us is the best i have ever heard it here and i hope it continues,sad
a disconsolate group of climbers sitting round a kitchen table all lean forward and peer out at the iron grey clouds rumbling past,sad
she stared until it was hard to know which was herself -- the disconsolate woman in the chill room or the other sorrowful face in the night outside,sad
wenner would fly in to issue instructions to an increasingly disconsolate staff and jagger would pay the bills,sad
with a disconsolate sigh she stood up slipped off the towelling robe and threw it over a chair,sad
he looked most disconsolate,sad
after he got back i felt like i was in a black hole groaned a disconsolate wilkinson after his two hour defeat,sad
support for the greens may have shrunk but it was still at the same level as the liberal democrats the third party in parliament so perhaps ms cooke was unduly downcast,sad
catherine looked downcast and mcleish felt uneasy,sad
penelope huntley sat silent through this speech chain smoking her eyes downcast,sad
leapor was still downcast about the loss of her job perhaps unable to write much poetry when she met freemantle,sad
which was a curious sensation since in fact her eyes were downcast apparently studying the vinyl squares of the floor,sad
flora s eyes were downcast too they usually were,sad
cowed he stiffened his stance his eyes slightly downcast,sad
he looked so downcast that even angalo patted him on the shoulder,sad
harry released her and once again his expression was downcast,sad
a group of thirty or forty downcast men stood apart in the canter of thin ring their heads and arms hanging slack in attitudes of despair,sad
but one day when the lord was off hunting the fox said friends we are all happy and contented but our master sometimes seems rather sad and downcast,sad
you must not be downcast said lydia,sad
i might have felt a little downcast at that point only the evening had made me feel more encouraged about my prospects with her than i would felt for some time,sad
they gossip and joke and giggle like schoolgirls very different from their daughters in law who are sometimes seen shuffling behind them heavily veiled and silent and with the downcast eyes of prisoners under guard,sad
it is a long time since anyone cared for you as tonight you cared for ana is it not he asked softly his hand coming to tilt her downcast face,sad
forgive me miss kyte said the other lady softly but you look quite downcast,sad
one unnamed area was criticised after it appeared to have industrial dereliction and sad downcast people,sad
yet they were not downhearted,sad
i am not downhearted,sad
kevin keegan the newcastle manager was not downhearted even though the result leaves his side deep in relegation trouble,sad
the family are not downhearted they have made many people across the country aware of the trust and their work,sad
all the talk of weddings made anne feel downhearted and impatient with the secrecy that john insisted on,sad
you as not gone and got yourself worked up into a glum mood have you now,sad
it was performance that drew applause from a press corps relieved to be approaching the end of at least the first election campaign this year and brought smiles to previously glum ministerial faces,sad
you look glum today bragg said good humouredly,sad
the organisation is glum about the social consequences for europe,sad
the glum look on his face was probably normal,sad
after the coming of the man in the night miguel had grown glum and thoughtful,sad
then why are you looking so glum,sad
in fact said helen i am not feeling particularly glum about all this,sad
the glum look on the face of england manager graham taylor says it all   but he has no intention of quitting,sad
leading scorer paul wilkinson struck his 20th goal of the season against his former club but looked glum as he left the dressing room,sad
aside from the fact that jill is quite capable of carrying her own books her glumness could easily be due to being a young lesbian forced to suppress it and wishing jack would take his stupid pick up lines elsewhere,sad
my poor mother was grief stricken and all alone,sad
a grief stricken mr ellis said yesterday it is a nightmare,sad
wren s grief stricken mother gives all her daughter s possessions to luna,sad
the grief stricken widow refused to leave her dead husband s side and even crawled into his bed in a vain attempt to infect herself with his disease,sad
his grief stricken widow destroyed all his cricket clothes and equipment,sad
queen margaret came out of the church a veil covering her grief stricken face,sad
lady cross s family was too grief stricken to attend the trial,sad
sometimes our bodies and minds seek excuses to experience griefs that we may have put aside or denied because we could not face them at the time,sad
she had assumed that because mother had not wept or shown grief that her father had not been loved by anyone but herself and her father s parents who wept copiously,sad
i experienced tears of real grief for the first time when my granny died,sad
how does it make someone like a woman who has just had an abortion feel having to go to a lavatory to express her grief in tears,sad
unless they are given opportunities to express their grief in appropriate ways which can include weeping for loss they will never be able to acquire the creative energy necessary to find a new job,sad
lives janet barron praises the good grief of ted walker,sad
i desire first to go to the palace of westminster my lord there to greet the queen my mother and tender my condolences -- and to share the grief of my family,sad
derby county s grief at the foot of the first division continues as they went down two one at crystal palace,sad
at their graves their families would unite with their beloved over a memorial meal and a drink easing their grief in recreating the family intimacy only transiently ruptured,sad
to some extent adults can choose of their own free will whether to deal with their grief or not,sad
to only a few had he been the devil who gloated over their private grief,sad
women traditionally show their grief more than men,sad
sandra cooper 33 midwife and founder of the darlington miscarriage association said   women who have had a miscarriage experience grief but they have no record of their unborn child,sad
now she was mad with grief,sad
she had been experiencing considerable feelings of grief about her husband and had been able to cry on occasions,sad
he stood there stoically hiding his grief as newlands announced he had received only twelve votes,sad
she looked desperately tired but there were no obvious marks of grief on her face,sad
for the first time coffin saw the signs of grief on christopher court s face,sad
david coped with his grief by trying to save other youngsters from solvent abuse,sad
at this stage you are normally expected to experience grief when the main feeling is shock,sad
too much it seemed to me was made of tom s grief his courtship of araminta was forward looking and deep grief needs roots in the past,sad
it is things like that which are really destructive to writers who are often brave about illness and pain and resilient after all but the deepest grief,sad
half a week after that encounter charlie had heard that his beloved had parted from the man with great grief and was in need of tender care,sad
that certainly did not sound serious enough to account for her great grief,sad
as you would expect she was overcome with grief,sad
but for the time being private morrison s family already overcome by grief can only wait and hope his body will be released to them soon,sad
but it was the scene of my first heartbreak,sad
and to complete his heartbreak his car broke down when he was looking for his ninth win of the season at the italian grand prix,sad
i do not think i could cope with your heartbreak,sad
that concern turned to heartbreak when they heard of his mother s grim fate,sad
you must have been heartbroken,sad
when annie s daughter died at the age of five she was heartbroken,sad
a heartbroken daniels watched this all going on and was moved to break the golden rule of not speaking until spoken to,sad
heartbroken maria had to return to the convent and remain a nun for the rest of her life,sad
i am heartbroken because football has been my whole life,sad
heartbroken tim godwin weeps as he tells how he had to tell his 23-month old daughter sophie mummy is not coming back,sad
she crammed more living into her 30 years than most people experience in two lifetimes according to her heartbroken parents ken and diana,sad
the kids will be heartbroken,sad
and yesterday his heartbroken wife jane slammed police for failing to find him after she raised the alarm 48 hours earlier,sad
yesterday the heartbroken teenager who was on the verge of trials with the royal ballet said in just one second my life has been wrecked,sad
the heartbroken mother of transplant donor paula moss is leaving england to work as a missionary,sad
only afterwards when tommy disappeared and maudie seemed so heartbroken then i began to wonder,sad
sitting in front of the looking glass making up her face she hoped that anthony was all right and not quite as heartbroken as julia seemed to think he was,sad
although i have has a lot of support i feel heartbroken about henri s future,sad
the popular story is that he was so heartbroken he ran off to join a religious order and has since been ordained,sad
scorning the establishment they left homes and heartbroken parents,sad
i thought they must have had a quarrel brand said and i had the impression he was not heartbroken about it,sad
his heartbroken mum colette said paul is so upset,sad
surely someone somewhere knows who killed ann heron and that person could ease the pain for her heartbroken family,sad
she looked into his eyes and saw terrible pain and inconsolable grief,sad
the boy was broken hearted and inconsolable,sad
the women wait anxiously and when the boat returns one of its crew has been lost causing inconsolable grief to his young wife,sad
william was inconsolable and unable to settle at home continued to travel extensively,sad
liza for her part had still seemed inconsolable when she first arrived back at her unit on the edge of salisbury plain,sad
there are periods when we feel totally inconsolable,sad
it can be the focus of inconsolable grief it inspires poetry and literature symphonies and songs,sad
in the event maman was inconsolable,sad
he was inconsolable when he found what she would done,sad
yussuf had been quite inconsolable,sad
he was not inconsolable,sad
vincent agreed too low spirited to put up any resistance,sad
she sounded a little low spirited,sad
sven hjerson s lugubrious face lit up in a brief smile,sad
i kept trying to get back to changez s lugubrious face which reclined morosely in his good hand as the guests filled the air around him with cultivated noises,sad
the lugubrious publican had seen it as his job to repel strangers and had employed to that end an impressive armoury of taciturnity malevolent glances warm beer and poor service,sad
he was a plodding lugubrious fellow and we were delighted with his wodehousian name,sad
bert a lanky lugubrious individual declined,sad
he looked up his lugubrious face pale and athelstan saw it was tear stained,sad
he became even more lugubrious,sad
bathsheba was watching his expression closely and she had never been more miserable,sad
if you do not help me i shall make you more miserable than you have ever been in your life,sad
there i lay half roasted on one side freezing on the other in a sort of trance more abjectly miserable than i can tell,sad
on one of our visits we found a representative of the occidental oil company stranded there looking most miserable and bedraggled in the morass of mud and pouring rain,sad
neither of us could wait to get the round over we were so cold and miserable,sad
i used to be sad and pathetic but i am not so miserable any more,sad
he was so miserable,sad
of course i like them if i did not i would be utterly miserable,sad
accordingly i wrote to my parents and having pretended for years that i was relatively happy at school i now confessed that i was utterly miserable and begged them to take me away,sad
they were on the top floor of an old house and he was very cold and very miserable,sad
i am very miserable,sad
as he nodded she went on i would had a bit of a knock in -- in a relationship with a man in london and i was very miserable over elise s death,sad
and when i first got an inkling the little was far worse than none and i became melancholy and miserable,sad
every day they became more miserable,sad
as joe and biddy became a little more cheerful discussing my possible plans for the future i became more miserable,sad
i feel really miserable to tell the truth,sad
when the reaction set in she had felt utterly miserable,sad
sheila williams was feeling miserable,sad
five minutes went by as she reflected that rosemary must be feeling as miserable as travis then checking to see that travis was all right as she passed she went to bed,sad
the dog seems anxious to get the harness on indeed all through the trip the dogs are always keen to pull and seem miserable when they are tied off for the night,sad
they seemed demoralized and miserable operating an endless mechanical process,sad
i am too miserable to eat,sad
i was too miserable to giggle but i wondered if the fiances had when he postured on his lawn,sad
as i read it i was sad to think how miserable anne had been in a big house away from home where no one understood her,sad
now her vivid imagination had no difficulty in showing her how mark s last drive alone must have been how miserable he must have felt,sad
she missed him and missed the companionable secrecy of their relationship but she was not miserable about it,sad
she in turn had been drawn to him at the time when she was miserable about jean pierre,sad
as michael codron told me ken remained very loyal to it even though he was miserable about it,sad
it was the kind of life that was making life miserable in the extreme for her and since i felt responsible for her it was making me miserable too,sad
loads of my friends are miserable over the way they look and the media are basically saying yes you are right to be miserable,sad
harry we are going to make ourselves miserable beyond measure if we go on like this,sad
if as she suspected elizabeth was miserable because of that dreary village sawbones then it was dishonest and unlikeable of her to pretend that it was because of her sister in law,sad
he must be miserable,sad
to misquote you he is itinerant because he is miserable,sad
brian davies also from near coventry had entered some immense pumpkins and marrows but seemed mournful,sad
on the other hand the most important person the cameraman wore jeans and a micky mouse t shirt over which his mournful deadpan moon face shone incongruously,sad
it is her whole situation -- she is so mournful and silently accusing and sometimes robert i think her as mad as landor with all this nonsense she makes of the bible from time to time,sad
his face was completely serious even slightly mournful,sad
he was at the graveside looking mournful and interesting,sad
he had a narrow mournful face tapering to a long pointed chin,sad
they would had a skinful so were not in a particularly noticing mood but they saw and heard nothing nothing except what they described as a kind of mournful whistling coming from deep in the wood,sad
gloom on the other hand sees a noisy grimy city with crowded underground stations overpriced restaurants jostling strangers and mournful faces,sad
it gobbled up the bird in one go said a mournful bird watcher yesterday,sad
there was the mournful sound of human voices and then a jolt,sad
i could not bear the mournful look on his face,sad
how dare you seem so mournful,sad
he was drawn to such slow mournful music and he carried it with him everywhere,sad
joe sat with his head in his hands not hearing the mournful sound of a tug edging shorewards in the direction of the docks or the lonely cry of the seagulls overhead,sad
with her long hair drooping round her face and her large mournful eyes she looked like a lost basset hound puppy,sad
the merchant s long face was even more mournful and the friar was sure the man had been crying,sad
the counts were well pleased at this but all the people of the land were sorrowful,sad
tero followed them at a distance watching her new friend with sorrowful anxious eyes,sad
elizabeth mowbray s face was pale and tense her sorrowful mien reflecting the newly sombre mood of the court,sad
not from irritation but because she knew it was a lie and felt sorrowful because of alice,sad
coventry turned and looked at him a long dark sorrowful stare,sad
then the toot of a trumpet and the clown with the enormous sorrowful eyes was coming at her in her ring side seat and she wanted to run away,sad
his liquid eyes were sorrowful and the ends of his moustache drooped,sad
then he relaxes into a sorrowful smile like when you remember someone you loved who died a long time ago,sad
moreover i disliked the lady eleanor intensely with her sorrowful face and moping ways,sad
one of the three khthons began to hum a sorrowful melody,sad
the poem interlocks the narrative description with mariana s own sorrowful moans,sad
athelstan rubbed his mouth with his thumb and gazed directly at cranston s sorrowful face,sad
philippa thought perhaps this news benefits the king but it brings sorrow for the rest of us,sad
jacob filled to the brim with sorrow for the woman whom despite everything he had loved,sad
psalm 13 put her own question well mdashhow long shall l take counsel in my soul having sorrow in my heart daily,sad
as the tartan army drowned its sorrows in the bars of soho frank preferred a candlelit dinner,sad
i have naught to offer you the youth was saying and there was sorrow in his voice,sad
there was genuine sorrow in the producer s voice,sad
june barraclough s a time to love methuen 12.95 spans both world wars and paints a vivid picture of the loves and sorrows of the characters in the lives of two women friends,sad
yet the sorrow of leibnitz were he to have needlessly destroyed it is described as a natural feeling for a humane man,sad
help us to become more aware of the needs the joys and the sorrows of our brothers here,sad
the look of reproach and sorrow on her face cut into him far more deeply than any angry words could have done,sad
but the parting has brought some sweet sorrow to her and her landlord,sad
miss worthington often felt it would have been an unendurable sorrow to her parents if they had lived to witness the extent of the deterioration,sad
he was a man drowning his sorrows he would decided,sad
there were dry gingers and tonics prepared for the whiskies and gins which everyone hoped would drown the star s sorrows,sad
my hand caresses the surging wind i am deeper drowned in sorrow,sad
they were young but they walked bent in sorrow,sad
most of those who read glenys roberts s moan march 15 and who know monaco felt i suspect more sorrow for the author than disdain for the place,sad
he could see sorrow in the dark eyes which glowed as if there were candles burning behind them,sad
other people s sorrows on the whole weigh lightly on our shoulders a merciful provision,sad
i drowned my sorrows on the school goalposts as football was banned,sad
taking as his theme the great rivers of the world the ganges the jordan the mississippi the clyde -- and of course the boyne -- he weaves a tapestry evoking both sorrow and joy,sad
the reporter treading delicately had asked if it was a great sorrow to her when she and walter separated,sad
but i feel dismay sorrow for so many people in our country who do not share this personal good fortune and who as a result of further years of tory government will experience further disadvantage,sad
jesus felt despair and sorrow to such an extent that there is a mood of desperation in the story,sad
as his wife as his louise had slipped there was no friend with whom he could share the sorrow he felt over his son,sad
yet she suffered his grief with him wanting to share his sorrow hoping that she could alleviate some of his pain,sad
the irish president mary robinson had earlier said she shared the sorrow and anguish of the people of her country,sad
he looked so woebegone,sad
hepzibah looked at carrie s woebegone face,sad
god give me strength he yelled instantly turning his attention back to the younger man who stood before him and whose woebegone expression would have been comical were it not so pitiful,sad
i had to rush around trying to find a farmer with a cart who might be going where i wanted katz lamented his woebegone countenance matching his sorry tale,sad
liz must have looked as woebegone as she felt when they staggered into the stuffy carriage because barbara had burst out laughing,sad
her mum smiled at the woebegone face,sad
len looked apologetic and woebegone and mumbled something about not letting down his mates,sad
but she was torn by her daughter s despair,sad
a merciful wave was closing over it healing her despair,sad
jamie hill defending said glorney s marriage had broken down and his despair manifested itself in him turning to drink and committing offences,sad
when lansdowne communicated his despair about the war to the press in 1917 and called for negotiations there was a storm of protest,sad
as he stared at the torment fury and despair in her face he knew that clare would not forgive him,sad
the despair in their father s voice had sent a sudden chill of apprehension through the brothers,sad
the profound anguish and hopeless despair of this woman in the face of what she believed to be the moral ruin of her whole life can not well be described,sad
since last may many of these same passers by have come face to face on their tv screens with the agony desolation and despair of the people of ethiopia and the sudan,sad
on a day which saw a host of prophets confounded -- and a month of near despair for many conservative loyalists -- the reputation of one sage is intact,sad
rune frowned as his eagle eyed regard read the despair on her face,sad
from the despair in the parson s eyes the doctor saw that this remedy had already been tried to no avail,sad
but he could not watch her terrible despairs without participating in them increasingly he found he was as paralysed by them as she was herself,sad
many parents experience deep pain and despair about their teenage children,sad
gabriel forgot his own sadness when he saw the bitterness and deep despair on the farmer s face,sad
shelley sat down beside the patient and smiled at him the cheerfulness coming from somewhere behind her deep despair,sad
by calling on his fellow socialists to perform the equivalent of a collective hara kiri he paradoxically appears to have given them back hope of a new life at the moment of their deepest despair,sad
evelyn had never experienced such utter despair,sad
the tears came and rapidly dissolved her angry expression to one of utter despair,sad
through a swell of tears ruth stared incredulously at the bundle and felt such despair that she feared she would drop the child,sad
she glanced down at the linoleum in despair,sad
perhaps it was despair that made me believe there was one person in the world who might know that i was in despair,sad
that he forgot his guest in his despair,sad
he looked down at her astonished face with darkly angled brows,surprise
his eyes flared over her astonished face,surprise
her astonished eyes were taking in his costume gold embroidered satin jacket knee breeches and jabot of the eighteenth century,surprise
he discovered to his astonishment that frank now professed atheism,surprise
it was a measure of arnold s astonishment that he used the dialect expression of concern,surprise
she realised with astonishment that he was actually pleading,surprise
he stopped becoming aware of the glare from his uncle and the frank astonishment from his agent,surprise
the anger and astonishment in her face gave way to something very like pity,surprise
the boy bowed again enjoying her astonishment in the same way he had enjoyed the applause of the tang earlier that day when he had played tsu tiao,surprise
i heard no more of the debate and to the astonishment of my fellow delegates i stormed out of the auditorium and locked myself away in the ladies to howl out my rage alone,surprise
it was there that same until then pleasant morning to the astonishment of all the workers in the library that stour stumbled into the great chamber and laid his burden down,surprise
i chuckled at the astonishment on her face,surprise
suddenly to the collector s astonishment the padre gripped him by the throat and shouted a matter of opinion,surprise
as he drove out of his allotted space to his astonishment he saw alexandra about to get into her white saloon,surprise
bob sat up on the bed and gazed at her in astonishment,surprise
the driver watched in astonishment as the car whacked into the side of his vehicle,surprise
her eyes were wide open and upon her face was an expression of absolute astonishment,surprise
sonia and helen flung themselves into my arms to joe s great astonishment,surprise
but when i looked up i saw to my great astonishment a large island in the sky between me and the sun,surprise
to her own mild astonishment she murmured i will try,surprise
rebecque could not hide his astonishment,surprise
as he looked around he could not hide his astonishment,surprise
chambers shot him a look of astonishment then turned to include nora,surprise
elaine morris stared out of the window in astonishment,surprise
he left so quickly that she stared in astonishment at the door he had closed behind him,surprise
a great number said the astounded mrs phelps,surprise
you keep them she cried throwing the jewels into the plump lap of the astounded soapy finnegan,surprise
before the astounded car owner could react the prophet had pulled the door shut reached over the back of the driver s seat and jammed the muzzle of the gun into the man s neck,surprise
what in the world     began rose feeling quite bewildered as he let out an amused laugh,surprise
lucy felt slightly bewildered but hid the fact as she turned to stella,surprise
she frowned feeling slightly bewildered,surprise
a delighted if somewhat bewildered smile tugging at her own mouth her eyes alight with laughter she watched him melt into the crowds,surprise
schellenberg went out closing the door feeling totally bewildered,surprise
joey seemed bewildered as he put one large hand on his mother s shoulder,surprise
andrus seemed totally bewildered,surprise
at first she was utterly bewildered when he burst out laughing,surprise
kate s voice was husky and bewildered,surprise
bangor s alex lightbody must be the most bewildered bowler in the niba this season,surprise
by now nutmeg was so bewildered that he did not know what to do,surprise
natasha laughed at maggie s bewildered expression,surprise
benny looked around him a bewildered expression on his face,surprise
he saw the bewildered look on hencke s face and led him towards two comfortable chairs which stood on either side of a low occasional table,surprise
and she did leaving a very bewildered ellie to look round her at the well equipped kitchen and the gently steaming kettle,surprise
the sweat of moving packs of eighty pounds through the crush of bewildered nervous men,surprise
some even asked the bewildered woman to sign their jeans,surprise
a bewildered dick francis walks back to the weighing room as devon loch is led away,surprise
when she still looked bewildered he said more harshly i will take the heat off if you will show some appreciation,surprise
police found the exhausted pensioner bewildered by the roadside,surprise
at a nervous and hurriedly arranged press conference the ibrox publicity machine could barely paper the cracks between the departing boss and his bewildered chairman,surprise
within moments the bewildered assistant cooks had tied the ropes to the cauldron and suspended the boiling mass over a forked spit rest,surprise
she just looked up at him with bewildered eyes and he put her firmly away turning to launch himself into the water,surprise
michael frowned at him bewildered,surprise
she was feeling hurt and a little bewildered,surprise
the children at least the younger ones become bewildered and distraught,surprise
a bewildered and shocked survivor can be guided through red tape and practical alternatives can be found as in the case of liz and tom who were burgled while on income support,surprise
depressed and bewildered because it had inexplicably impaired his ability to think and concentrate he soon guessed that his paralysis and clumsiness would make him always dependent on a wheelchair,surprise
what had once been a largely invisible world of mental hospitals private suffering and professional services now appears in local communities as homelessness strange persons in public and bewilderment about who is responsible for whom,surprise
she squinted in bewilderment at the ten or so boarders who had formed her little band of helpers,surprise
no i said trying to sound convincing but daunted by the simple bewilderment in his face,surprise
carpenter her father asked with a tinge of bewilderment in his voice,surprise
she did not want to trouble the penguin with the bewilderment in her eyes,surprise
the old hands at machine knitting glibly talk about two thirties to the bewilderment of the newcomers at the knitting club,surprise
the bewilderment of the child nizan can not be overstated,surprise
scott ran a hand through his hair bewilderment on his face,surprise
downstairs in the lobbies tories were running around in equal bewilderment over the speakership,surprise
to her bewilderment they both dissolved into giggles,surprise
she saw his fear his bewilderment and above all a kind of astonishment at the enormity of the complications that lay ahead,surprise
the other side of the story is the pain felt by women when their children suffer and their bewilderment when that suffering is self inflicted,surprise
his voice was as sensual as raw silk but when he saw her bewilderment his eyes drifted over to mandy s table,surprise
gloria stared her mouth agape then turned to ruth in bewilderment,surprise
she got up and checked the wardrobes and her bemusement became sheer bewilderment,surprise
a frown of exasperation lined her brow as she shook her dark head in bewilderment,surprise
sonny turned in bewilderment to johnny then lumbered out after his brother,surprise
to those workers who profess bewilderment as to how they might help who feel their knowledge in sexual matters is insufficient or are doubtful of their capabilities for sexual counselling and aid one would suggest that they raise the matter within their training departments,surprise
the rest simply stood in a state of considerable bewilderment trying to ensure that they had not only accurately recorded but also understood what woolton had said,surprise
shiona frowned at the phone in total bewilderment,surprise
most will privately confess to an initial sense of utter bewilderment but necessity will drive them to adapt to their new way of life,surprise
her lovely face reflecting her complete and utter bewilderment she queried slowly why on earth would i want to claim kinship,surprise
constance looked at him in bewilderment,surprise
mr stokill must have noticed my look of bewilderment,surprise
he paused as his mother stared at him in bewilderment,surprise
she seemed flabbergasted but rallied and asked me if i would look in at the gray mare in kilburn and say hello to her son joe kelly who worked there,surprise
i tell you i was flabbergasted and right terrified out of my wits,surprise
charles was absolutely flabbergasted but he had not really got time to analyse his reactions,surprise
at first i was too flabbergasted to do anything,surprise
utterly flabbergasted leith began to realise that he was accusing her of announcing their engagement to all and sundry,surprise
rachel had been nonplussed,surprise
she was totally nonplussed,surprise
mait was momentarily nonplussed but soon recovered as he mentally ran through the possible effects of this on his plan,surprise
it is also worth speculating on the fate of what must have been a nonplussed christopher chryselius sir john pennington must have been thoroughly annoyed at the outcome too,surprise
he looked quite nonplussed,surprise
usually so mentally attuned so aware of what she was thinking and feeling he looked angry and nonplussed unable to understand her withdrawal,surprise
